Code,Area,Year,Qualifications of working age population (16-64),number,denominator,percent,confidence
K03000001,Great Britain,2008,NVQ2 only,"6,091,100","38,671,100",15.8,0.2
K02000001,United Kingdom,2008,NVQ2 only,6269400,"39,813,500",15.7,0.2
E09000001,City of London,2008,NVQ1 only,!,"6,600",!,!
E09000002,Barking and Dagenham,2008,NVQ1 only,"15,100","108,400",14,2.7
E09000003,Barnet,2008,NVQ1 only,"22,800","223,100",10.2,2.3
E09000004,Bexley,2008,NVQ1 only,"24,200","143,500",16.8,3.3
E09000005,Brent,2008,NVQ1 only,"15,200","198,600",7.7,2.2
E09000006,Bromley,2008,NVQ1 only,"25,700","194,200",13.2,2.9
E09000007,Camden,2008,NVQ1 only,"10,200","151,200",6.8,1.8
E09000008,Croydon,2008,NVQ1 only,"32,300","231,500",13.9,3.2
E09000009,Ealing,2008,NVQ1 only,"15,400","225,800",6.8,2.1
E09000010,Enfield,2008,NVQ1 only,"24,000","192,600",12.5,2.6
E09000011,Greenwich,2008,NVQ1 only,"18,400","159,700",11.5,2.8
E09000012,Hackney,2008,NVQ1 only,"9,400","163,500",5.8,1.8
E09000013,Hammersmith and Fulham,2008,NVQ1 only,"11,000","129,600",8.5,2.4
E09000014,Haringey,2008,NVQ1 only,"13,000","171,900",7.5,2.2
E09000015,Harrow,2008,NVQ1 only,"11,000","149,000",7.3,2.1
E09000016,Havering,2008,NVQ1 only,"29,700","147,100",20.2,3.2
E09000017,Hillingdon,2008,NVQ1 only,"22,100","170,600",13,2.6
E09000018,Hounslow,2008,NVQ1 only,"17,100","163,600",10.5,2.6
E09000019,Islington,2008,NVQ1 only,"12,700","140,700",9,2.2
E09000020,Kensington and Chelsea,2008,NVQ1 only,"5,000","117,300",4.3,1.8
E09000021,Kingston upon Thames,2008,NVQ1 only,"8,600","106,800",8,2.3
E09000022,Lambeth,2008,NVQ1 only,"18,300","209,600",8.8,2.2
E09000023,Lewisham,2008,NVQ1 only,"17,900","186,400",9.6,2.3
E09000024,Merton,2008,NVQ1 only,"15,900","133,500",11.9,3
E09000025,Newham,2008,NVQ1 only,"17,100","188,500",9.1,2.2
E09000026,Redbridge,2008,NVQ1 only,"18,200","174,800",10.4,2.5
E09000027,Richmond upon Thames,2008,NVQ1 only,"8,200","124,100",6.6,2.1
E09000028,Southwark,2008,NVQ1 only,"17,400","197,700",8.8,2.2
E09000029,Sutton,2008,NVQ1 only,"16,000","122,100",13.1,3.1
E09000030,Tower Hamlets,2008,NVQ1 only,"10,800","168,400",6.4,1.8
E09000031,Waltham Forest,2008,NVQ1 only,"22,000","163,900",13.4,2.8
E09000032,Wandsworth,2008,NVQ1 only,"14,900","219,500",6.8,2.2
E09000033,Westminster,2008,NVQ1 only,"11,500","161,300",7.1,1.9
E12000001,North East,2008,NVQ1 only,"230,600","1,657,300",13.9,0.6
E12000002,North West,2008,NVQ1 only,"619,400","4,474,400",13.8,0.4
E12000003,Yorkshire and The Humber,2008,NVQ1 only,"507,200","3,342,600",15.2,0.5
E12000004,East Midlands,2008,NVQ1 only,"446,900","2,852,700",15.7,0.7
E12000005,West Midlands,2008,NVQ1 only,"515,300","3,487,500",14.8,0.5
E12000006,East,2008,NVQ1 only,"578,200","3,613,600",16,0.6
E12000007,London,2008,NVQ1 only,"531,600","5,344,800",9.9,0.4
E12000008,South East,2008,NVQ1 only,"781,500","5,355,100",14.6,0.5
E12000009,South West,2008,NVQ1 only,"504,800","3,250,100",15.5,0.6
E92000001,England,2008,NVQ1 only,"4,715,500","33,378,000",14.1,0.2
W92000004,Wales,2008,NVQ1 only,"251,700","1,915,800",13.1,0.4
S92000003,Scotland,2008,NVQ1 only,"336,400","3,377,300",10,0.3
N92000002,Northern Ireland,2008,NVQ1 only,"118,200","1,142,400",10.3,0.9
K04000001,England and Wales,2008,NVQ1 only,"4,967,200","35,293,800",14.1,0.2
K03000001,Great Britain,2008,NVQ1 only,"5,303,600","38,671,100",13.7,0.1
K02000001,United Kingdom,2008,NVQ1 only,"5,421,800","39,813,500",13.6,0.1
E09000001,City of London,2008,with other qualifications,!,"6,600",!,!
E09000002,Barking and Dagenham,2008,with other qualifications,16800,"108,400",15.5,2.8
E09000003,Barnet,2008,with other qualifications,"31,100","223,100",13.9,2.7
E09000004,Bexley,2008,with other qualifications,"10,400","143,500",7.2,2.3
E09000005,Brent,2008,with other qualifications,"70,100","198,600",35.3,3.9
E09000006,Bromley,2008,with other qualifications,"14,500","194,200",7.5,2.2
E09000007,Camden,2008,with other qualifications,"21,400","151,200",14.1,2.5
E09000008,Croydon,2008,with other qualifications,"18,400","231,500",7.9,2.5
E09000009,Ealing,2008,with other qualifications,"40,200","225,800",17.8,3.3
E09000010,Enfield,2008,with other qualifications,"26,600","192,600",13.8,2.7
E09000011,Greenwich,2008,with other qualifications,"16,900","159,700",10.6,2.7
E09000012,Hackney,2008,with other qualifications,"18,600","163,500",11.4,2.4
E09000013,Hammersmith and Fulham,2008,with other qualifications,"17,700","129,600",13.6,2.9
E09000014,Haringey,2008,with other qualifications,"29,800","171,900",17.3,3.1
E09000015,Harrow,2008,with other qualifications,"41,200","149,000",27.7,3.6
E09000016,Havering,2008,with other qualifications,"9,500","147,100",6.5,2
E09000017,Hillingdon,2008,with other qualifications,"27,200","170,600",15.9,2.9
E09000018,Hounslow,2008,with other qualifications,"26,400","163,600",16.1,3.1
E09000019,Islington,2008,with other qualifications,"14,800","140,700",10.5,2.3
E09000020,Kensington and Chelsea,2008,with other qualifications,"20,000","117,300",17.1,3.3
E09000021,Kingston upon Thames,2008,with other qualifications,"5,500","106,800",5.2,1.9
E09000022,Lambeth,2008,with other qualifications,"27,200","209,600",13,2.6
E09000023,Lewisham,2008,with other qualifications,"25,900","186,400",13.9,2.7
E09000024,Merton,2008,with other qualifications,"23,900","133,500",17.9,3.6
E09000025,Newham,2008,with other qualifications,"44,900","188,500",23.8,3.3
E09000026,Redbridge,2008,with other qualifications,"25,700","174,800",14.7,2.9
E09000027,Richmond upon Thames,2008,with other qualifications,"7,300","124,100",5.9,2
E09000028,Southwark,2008,with other qualifications,"22,200","197,700",11.3,2.4
E09000029,Sutton,2008,with other qualifications,"8,400","122,100",6.8,2.3
E09000030,Tower Hamlets,2008,with other qualifications,"24,600","168,400",14.6,2.7
E09000031,Waltham Forest,2008,with other qualifications,"20,100","163,900",12.3,2.7
E09000032,Wandsworth,2008,with other qualifications,"29,800","219,500",13.6,3
E09000033,Westminster,2008,with other qualifications,"24,200","161,300",15,2.6
E12000001,North East,2008,with other qualifications,"118,900","1,657,300",7.2,0.4
E12000002,North West,2008,with other qualifications,"332,900","4,474,400",7.4,0.3
E12000003,Yorkshire and The Humber,2008,with other qualifications,"287,200","3,342,600",8.6,0.4
E12000004,East Midlands,2008,with other qualifications,"258,100","2,852,700",9,0.5
E12000005,West Midlands,2008,with other qualifications,"271,600","3,487,500",7.8,0.4
E12000006,East,2008,with other qualifications,"346,400","3,613,600",9.6,0.5
E12000007,London,2008,with other qualifications,"761,800","5,344,800",14.3,0.5
E12000008,South East,2008,with other qualifications,"424,400","5,355,100",7.9,0.3
E12000009,South West,2008,with other qualifications,"244,900","3,250,100",7.5,0.4
E92000001,England,2008,with other qualifications,"3,046,200","33,378,000",9.1,0.1
W92000004,Wales,2008,with other qualifications,"143,300","1,915,800",7.5,0.3
S92000003,Scotland,2008,with other qualifications,"250,400","3,377,300",7.4,0.3
N92000002,Northern Ireland,2008,with other qualifications,"50,400","1,142,400",4.4,0.6
K04000001,England and Wales,2008,with other qualifications,"3,189,500","35,293,800",9,0.1
K03000001,Great Britain,2008,with other qualifications,"3,439,900","38,671,100",8.9,0.1
K02000001,United Kingdom,2008,with other qualifications,"3,490,300","39,813,500",8.8,0.1
E09000001,City of London,2008,with no qualifications,!,"6,600",!,!
E09000002,Barking and Dagenham,2008,with no qualifications,"25,900","108,400",23.9,3.3
E09000003,Barnet,2008,with no qualifications,"19,600","223,100",8.8,2.2
E09000004,Bexley,2008,with no qualifications,18000,"143,500",12.5,2.9
E09000005,Brent,2008,with no qualifications,"16,700","198,600",8.4,2.2
E09000006,Bromley,2008,with no qualifications,"18,400","194,200",9.5,2.5
E09000007,Camden,2008,with no qualifications,"11,600","151,200",7.7,1.9
E09000008,Croydon,2008,with no qualifications,"29,800","231,500",12.9,3.1
E09000009,Ealing,2008,with no qualifications,"27,400","225,800",12.1,2.8
E09000010,Enfield,2008,with no qualifications,"28,600","192,600",14.9,2.8
E09000011,Greenwich,2008,with no qualifications,"19,800","159,700",12.4,2.8
E09000012,Hackney,2008,with no qualifications,"25,200","163,500",15.4,2.7
E09000013,Hammersmith and Fulham,2008,with no qualifications,"10,100","129,600",7.8,2.3
E09000014,Haringey,2008,with no qualifications,"30,900","171,900",18,3.2
E09000015,Harrow,2008,with no qualifications,"13,400","149,000",9,2.3
E09000016,Havering,2008,with no qualifications,"24,400","147,100",16.6,3
E09000017,Hillingdon,2008,with no qualifications,"22,400","170,600",13.1,2.7
E09000018,Hounslow,2008,with no qualifications,"24,500","163,600",15,3
E09000019,Islington,2008,with no qualifications,"19,200","140,700",13.6,2.6
E09000020,Kensington and Chelsea,2008,with no qualifications,"9,200","117,300",7.9,2.3
E09000021,Kingston upon Thames,2008,with no qualifications,"7,300","106,800",6.9,2.2
E09000022,Lambeth,2008,with no qualifications,"28,800","209,600",13.8,2.7
E09000023,Lewisham,2008,with no qualifications,"19,400","186,400",10.4,2.4
E09000024,Merton,2008,with no qualifications,"10,500","133,500",7.9,2.5
E09000025,Newham,2008,with no qualifications,"39,700","188,500",21.1,3.1
E09000026,Redbridge,2008,with no qualifications,"23,800","174,800",13.6,2.8
E09000027,Richmond upon Thames,2008,with no qualifications,"9,800","124,100",7.9,2.3
E09000028,Southwark,2008,with no qualifications,"26,600","197,700",13.5,2.6
E09000029,Sutton,2008,with no qualifications,"16,900","122,100",13.8,3.2
E09000030,Tower Hamlets,2008,with no qualifications,"38,800","168,400",23.1,3.2
E09000031,Waltham Forest,2008,with no qualifications,"30,800","163,900",18.8,3.2
E09000032,Wandsworth,2008,with no qualifications,"18,000","219,500",8.2,2.4
E09000033,Westminster,2008,with no qualifications,"13,900","161,300",8.6,2.1
E12000001,North East,2008,with no qualifications,"247,200","1,657,300",14.9,0.6
E12000002,North West,2008,with no qualifications,"710,100","4,474,400",15.9,0.4
E12000003,Yorkshire and The Humber,2008,with no qualifications,"490,300","3,342,600",14.7,0.5
E12000004,East Midlands,2008,with no qualifications,"415,000","2,852,700",14.5,0.7
E12000005,West Midlands,2008,with no qualifications,"594,100","3,487,500",17,0.6
E12000006,East,2008,with no qualifications,"471,500","3,613,600",13,0.6
E12000007,London,2008,with no qualifications,"679,500","5,344,800",12.7,0.5
E12000008,South East,2008,with no qualifications,"519,900","5,355,100",9.7,0.4
E12000009,South West,2008,with no qualifications,"321,500","3,250,100",9.9,0.5
E92000001,England,2008,with no qualifications,"4,449,100","33,378,000",13.3,0.2
W92000004,Wales,2008,with no qualifications,"293,300","1,915,800",15.3,0.5
S92000003,Scotland,2008,with no qualifications,"467,700","3,377,300",13.8,0.4
N92000002,Northern Ireland,2008,with no qualifications,"262,900","1,142,400",23,1.2
K04000001,England and Wales,2008,with no qualifications,"4,742,400","35,293,800",13.4,0.2
K03000001,Great Britain,2008,with no qualifications,"5,210,200","38,671,100",13.5,0.1
K02000001,United Kingdom,2008,with no qualifications,"5,473,000","39,813,500",13.7,0.1
E09000001,City of London,2009,NVQ4+,"5,500","5,500",100,-
E09000002,Barking and Dagenham,2009,NVQ4+,"24,800","110,700",22.4,3.5
E09000003,Barnet,2009,NVQ4+,"96,400","227,700",42.3,4.4
E09000004,Bexley,2009,NVQ4+,"40,500","146,000",27.7,4
E09000005,Brent,2009,NVQ4+,"71,300","205,500",34.7,4.4
E09000006,Bromley,2009,NVQ4+,67700,"193,500",35,4.7
E09000007,Camden,2009,NVQ4+,"80,400","153,200",52.5,3.9
E09000008,Croydon,2009,NVQ4+,"73,600","235,700",31.2,4.1
E09000009,Ealing,2009,NVQ4+,"82,700","227,900",36.3,4
E09000010,Enfield,2009,NVQ4+,"67,400","195,000",34.6,3.5
E09000011,Greenwich,2009,NVQ4+,"57,700","163,400",35.3,4
E09000012,Hackney,2009,NVQ4+,"77,300","169,200",45.7,3.8
E09000013,Hammersmith and Fulham,2009,NVQ4+,"61,500","132,900",46.3,4.3
E09000014,Haringey,2009,NVQ4+,"74,300","175,000",42.4,4
E09000015,Harrow,2009,NVQ4+,"50,200","151,900",33.1,4.1
E09000016,Havering,2009,NVQ4+,"23,700","149,700",15.8,3
E09000017,Hillingdon,2009,NVQ4+,"55,300","173,200",31.9,4.1
E09000018,Hounslow,2009,NVQ4+,"58,500","167,700",34.9,4
E09000019,Islington,2009,NVQ4+,"74,800","145,500",51.5,4
E09000020,Kensington and Chelsea,2009,NVQ4+,"68,400","117,600",58.2,4.3
E09000021,Kingston upon Thames,2009,NVQ4+,"48,900","107,200",45.6,4.3
E09000022,Lambeth,2009,NVQ4+,"107,800","215,700",50,4
E09000023,Lewisham,2009,NVQ4+,"77,200","188,900",40.9,4.2
E09000024,Merton,2009,NVQ4+,"55,800","135,600",41.2,4.2
E09000025,Newham,2009,NVQ4+,"47,200","196,200",24,3.2
E09000026,Redbridge,2009,NVQ4+,"57,500","177,300",32.5,3.9
E09000027,Richmond upon Thames,2009,NVQ4+,"65,000","122,300",53.2,4.4
E09000028,Southwark,2009,NVQ4+,"90,200","202,300",44.6,4.3
E09000029,Sutton,2009,NVQ4+,"46,400","123,000",37.7,4.4
E09000030,Tower Hamlets,2009,NVQ4+,"65,400","176,600",37.1,3.9
E09000031,Waltham Forest,2009,NVQ4+,"44,100","168,500",26.2,3.8
E09000032,Wandsworth,2009,NVQ4+,"130,800","222,900",58.7,4.4
E09000033,Westminster,2009,NVQ4+,"88,000","158,100",55.6,4.2
E12000001,North East,2009,NVQ4+,"397,800","1,661,000",24,0.8
E12000002,North West,2009,NVQ4+,"1,215,200","4,488,300",27.1,0.5
E12000003,Yorkshire and The Humber,2009,NVQ4+,"889,300","3,351,700",26.5,0.7
E12000004,East Midlands,2009,NVQ4+,"735,800","2,864,800",25.7,0.8
E12000005,West Midlands,2009,NVQ4+,"865,400","3,494,400",24.8,0.7
E12000006,East,2009,NVQ4+,"991,100","3,630,600",27.3,0.8
E12000007,London,2009,NVQ4+,"2,136,500","5,441,200",39.3,0.7
E12000008,South East,2009,NVQ4+,"1,758,500","5,381,500",32.7,0.6
E12000009,South West,2009,NVQ4+,"952,300","3,253,200",29.3,0.7
E92000001,England,2009,NVQ4+,"9,942,000","33,566,700",29.6,0.2
W92000004,Wales,2009,NVQ4+,"526,800","1,921,300",27.4,0.6
S92000003,Scotland,2009,NVQ4+,"1,146,900","3,393,200",33.8,0.5
N92000002,Northern Ireland,2009,NVQ4+,"292,500","1,150,100",25.4,1.3
K04000001,England and Wales,2009,NVQ4+,"10,468,900","35,488,000",29.5,0.2
K03000001,Great Britain,2009,NVQ4+,"11,615,700","38,881,200",29.9,0.2
K02000001,United Kingdom,2009,NVQ4+,"11,908,300","40,031,300",29.7,0.2
E09000001,City of London,2009,NVQ3 only,!,"5,500",!,!
E09000002,Barking and Dagenham,2009,NVQ3 only,"16,900","110,700",15.2,3
E09000003,Barnet,2009,NVQ3 only,"29,500","227,700",12.9,3
E09000004,Bexley,2009,NVQ3 only,"22,800","146,000",15.6,3.2
E09000005,Brent,2009,NVQ3 only,"18,400","205,500",8.9,2.6
E09000006,Bromley,2009,NVQ3 only,"31,400","193,500",16.2,3.6
E09000007,Camden,2009,NVQ3 only,"15,000","153,200",9.8,2.3
E09000008,Croydon,2009,NVQ3 only,"36,900","235,700",15.7,3.2
E09000009,Ealing,2009,NVQ3 only,"23,500","227,900",10.3,2.5
E09000010,Enfield,2009,NVQ3 only,"28,200","195,000",14.5,2.6
E09000011,Greenwich,2009,NVQ3 only,"19,700","163,400",12.1,2.7
E09000012,Hackney,2009,NVQ3 only,"11,500","169,200",6.8,1.9
E09000013,Hammersmith and Fulham,2009,NVQ3 only,"14,200","132,900",10.7,2.6
E09000014,Haringey,2009,NVQ3 only,"18,000","175,000",10.3,2.5
E09000015,Harrow,2009,NVQ3 only,"16,000","151,900",10.6,2.7
E09000016,Havering,2009,NVQ3 only,"27,200","149,700",18.1,3.2
E09000017,Hillingdon,2009,NVQ3 only,"29,000","173,200",16.7,3.3
E09000018,Hounslow,2009,NVQ3 only,"19,000","167,700",11.3,2.7
E09000019,Islington,2009,NVQ3 only,"15,500","145,500",10.7,2.5
E09000020,Kensington and Chelsea,2009,NVQ3 only,"10,100","117,600",8.6,2.5
E09000021,Kingston upon Thames,2009,NVQ3 only,"18,600","107,200",17.3,3.3
E09000022,Lambeth,2009,NVQ3 only,"20,700","215,700",9.6,2.4
E09000023,Lewisham,2009,NVQ3 only,"24,900","188,900",13.2,2.9
E09000024,Merton,2009,NVQ3 only,"17,700","135,600",13.1,2.8
E09000025,Newham,2009,NVQ3 only,"17,500","196,200",8.9,2.2
E09000026,Redbridge,2009,NVQ3 only,"21,900","177,300",12.4,2.7
E09000027,Richmond upon Thames,2009,NVQ3 only,"19,300","122,300",15.7,3.2
E09000028,Southwark,2009,NVQ3 only,"18,800","202,300",9.3,2.5
E09000029,Sutton,2009,NVQ3 only,"16,600","123,000",13.5,3.1
E09000030,Tower Hamlets,2009,NVQ3 only,"19,900","176,600",11.3,2.5
E09000031,Waltham Forest,2009,NVQ3 only,"18,800","168,500",11.2,2.7
E09000032,Wandsworth,2009,NVQ3 only,"19,300","222,900",8.6,2.5
E09000033,Westminster,2009,NVQ3 only,"15,500","158,100",9.8,2.5
E12000001,North East,2009,NVQ3 only,"266,600","1,661,000",16.1,0.6
E12000002,North West,2009,NVQ3 only,"699,200","4,488,300",15.6,0.4
E12000003,Yorkshire and The Humber,2009,NVQ3 only,"538,600","3,351,700",16.1,0.6
E12000004,East Midlands,2009,NVQ3 only,"479,400","2,864,800",16.7,0.7
E12000005,West Midlands,2009,NVQ3 only,"532,700","3,494,400",15.2,0.6
E12000006,East,2009,NVQ3 only,"557,300","3,630,600",15.3,0.6
E12000007,London,2009,NVQ3 only,"652,100","5,441,200",12,0.5
E12000008,South East,2009,NVQ3 only,"867,600","5,381,500",16.1,0.5
E12000009,South West,2009,NVQ3 only,"562,700","3,253,200",17.3,0.6
E92000001,England,2009,NVQ3 only,"5,156,200","33,566,700",15.4,0.2
W92000004,Wales,2009,NVQ3 only,"310,200","1,921,300",16.1,0.5
S92000003,Scotland,2009,NVQ3 only,"523,300","3,393,200",15.4,0.4
N92000002,Northern Ireland,2009,NVQ3 only,"170,300","1,150,100",14.8,1
K04000001,England and Wales,2009,NVQ3 only,"5,466,400","35,488,000",15.4,0.2
K03000001,Great Britain,2009,NVQ3 only,"5,989,800","38,881,200",15.4,0.2
K02000001,United Kingdom,2009,NVQ3 only,"6,160,100","40,031,300",15.4,0.2
E09000001,City of London,2009,Trade Apprenticeships,!,"5,500",!,!
E09000002,Barking and Dagenham,2009,Trade Apprenticeships,"2,000","110,700",1.8,1.1
E09000003,Barnet,2009,Trade Apprenticeships,"4,100","227,700",1.8,1.2
E09000004,Bexley,2009,Trade Apprenticeships,"4,700","146,000",3.2,1.6
E09000005,Brent,2009,Trade Apprenticeships,"5,400","205,500",2.6,1.5
E09000006,Bromley,2009,Trade Apprenticeships,"1,700","193,500",0.9,*
E09000007,Camden,2009,Trade Apprenticeships,"1,300","153,200",0.8,*
E09000008,Croydon,2009,Trade Apprenticeships,"7,200","235,700",3.1,1.5
E09000009,Ealing,2009,Trade Apprenticeships,"2,800","227,900",1.2,*
E09000010,Enfield,2009,Trade Apprenticeships,5200,"195,000",2.7,1.2
E09000011,Greenwich,2009,Trade Apprenticeships,"3,600","163,400",2.2,1.2
E09000012,Hackney,2009,Trade Apprenticeships,"2,100","169,200",1.2,*
E09000013,Hammersmith and Fulham,2009,Trade Apprenticeships,"2,100","132,900",1.6,*
E09000014,Haringey,2009,Trade Apprenticeships,"1,200","175,000",0.7,*
E09000015,Harrow,2009,Trade Apprenticeships,"5,600","151,900",3.7,1.6
E09000016,Havering,2009,Trade Apprenticeships,"3,500","149,700",2.3,1.3
E09000017,Hillingdon,2009,Trade Apprenticeships,"3,900","173,200",2.3,1.3
E09000018,Hounslow,2009,Trade Apprenticeships,"4,000","167,700",2.4,1.3
E09000019,Islington,2009,Trade Apprenticeships,"1,300","145,500",0.9,*
E09000020,Kensington and Chelsea,2009,Trade Apprenticeships,900,"117,600",0.8,*
E09000021,Kingston upon Thames,2009,Trade Apprenticeships,"2,100","107,200",2,1.2
E09000022,Lambeth,2009,Trade Apprenticeships,"2,500","215,700",1.1,*
E09000023,Lewisham,2009,Trade Apprenticeships,"3,300","188,900",1.8,1.1
E09000024,Merton,2009,Trade Apprenticeships,"1,400","135,600",1,*
E09000025,Newham,2009,Trade Apprenticeships,"1,000","196,200",0.5,*
E09000026,Redbridge,2009,Trade Apprenticeships,"2,300","177,300",1.3,*
E09000027,Richmond upon Thames,2009,Trade Apprenticeships,"1,900","122,300",1.6,*
E09000028,Southwark,2009,Trade Apprenticeships,"1,800","202,300",0.9,*
E09000029,Sutton,2009,Trade Apprenticeships,"2,800","123,000",2.2,1.3
E09000030,Tower Hamlets,2009,Trade Apprenticeships,"2,200","176,600",1.2,*
E09000031,Waltham Forest,2009,Trade Apprenticeships,"2,400","168,500",1.4,*
E09000032,Wandsworth,2009,Trade Apprenticeships,800,"222,900",0.3,*
E09000033,Westminster,2009,Trade Apprenticeships,"1,000","158,100",0.6,*
E12000001,North East,2009,Trade Apprenticeships,"88,500","1,661,000",5.3,0.4
E12000002,North West,2009,Trade Apprenticeships,"193,600","4,488,300",4.3,0.2
E12000003,Yorkshire and The Humber,2009,Trade Apprenticeships,"141,400","3,351,700",4.2,0.3
E12000004,East Midlands,2009,Trade Apprenticeships,"129,700","2,864,800",4.5,0.4
E12000005,West Midlands,2009,Trade Apprenticeships,"129,500","3,494,400",3.7,0.3
E12000006,East,2009,Trade Apprenticeships,"152,000","3,630,600",4.2,0.3
E12000007,London,2009,Trade Apprenticeships,"88,000","5,441,200",1.6,0.2
E12000008,South East,2009,Trade Apprenticeships,"205,300","5,381,500",3.8,0.3
E12000009,South West,2009,Trade Apprenticeships,"156,200","3,253,200",4.8,0.3
E92000001,England,2009,Trade Apprenticeships,"1,284,200","33,566,700",3.8,0.1
W92000004,Wales,2009,Trade Apprenticeships,"75,900","1,921,300",3.9,0.3
S92000003,Scotland,2009,Trade Apprenticeships,"189,300","3,393,200",5.6,0.3
N92000002,Northern Ireland,2009,Trade Apprenticeships,"79,600","1,150,100",6.9,0.7
K04000001,England and Wales,2009,Trade Apprenticeships,"1,360,100","35,488,000",3.8,0.1
K03000001,Great Britain,2009,Trade Apprenticeships,"1,549,400","38,881,200",4,0.1
K02000001,United Kingdom,2009,Trade Apprenticeships,"1,629,000","40,031,300",4.1,0.1
E09000001,City of London,2009,NVQ2 only,!,"5,500",!,!
E09000002,Barking and Dagenham,2009,NVQ2 only,"15,200","110,700",13.7,2.9
E09000003,Barnet,2009,NVQ2 only,"27,900","227,700",12.3,2.9
E09000004,Bexley,2009,NVQ2 only,"28,300","146,000",19.4,3.5
E09000005,Brent,2009,NVQ2 only,"17,600","205,500",8.6,2.6
E09000006,Bromley,2009,NVQ2 only,"38,400","193,500",19.8,3.9
E09000007,Camden,2009,NVQ2 only,"14,400","153,200",9.4,2.3
E09000008,Croydon,2009,NVQ2 only,"33,300","235,700",14.2,3.1
E09000009,Ealing,2009,NVQ2 only,"23,600","227,900",10.4,2.5
E09000010,Enfield,2009,NVQ2 only,"21,900","195,000",11.2,2.3
E09000011,Greenwich,2009,NVQ2 only,"21,800","163,400",13.4,2.8
E09000012,Hackney,2009,NVQ2 only,16400,"169,200",9.7,2.2
E09000013,Hammersmith and Fulham,2009,NVQ2 only,"10,100","132,900",7.6,2.3
E09000014,Haringey,2009,NVQ2 only,"16,600","175,000",9.5,2.4
E09000015,Harrow,2009,NVQ2 only,"18,800","151,900",12.4,2.9
E09000016,Havering,2009,NVQ2 only,27200,"149,700",18.2,3.2
E09000017,Hillingdon,2009,NVQ2 only,"22,400","173,200",12.9,3
E09000018,Hounslow,2009,NVQ2 only,20500,"167,700",12.2,2.8
E09000019,Islington,2009,NVQ2 only,"13,000","145,500",9,2.3
E09000020,Kensington and Chelsea,2009,NVQ2 only,"6,700","117,600",5.7,2
E09000021,Kingston upon Thames,2009,NVQ2 only,"12,200","107,200",11.4,2.8
E09000022,Lambeth,2009,NVQ2 only,"16,700","215,700",7.8,2.2
E09000023,Lewisham,2009,NVQ2 only,"24,800","188,900",13.1,2.9
E09000024,Merton,2009,NVQ2 only,12700,"135,600",9.3,2.5
E09000025,Newham,2009,NVQ2 only,"20,200","196,200",10.3,2.3
E09000026,Redbridge,2009,NVQ2 only,"23,000","177,300",13,2.8
E09000027,Richmond upon Thames,2009,NVQ2 only,"12,000","122,300",9.8,2.6
E09000028,Southwark,2009,NVQ2 only,"22,100","202,300",10.9,2.7
E09000029,Sutton,2009,NVQ2 only,"17,200","123,000",14,3.1
E09000030,Tower Hamlets,2009,NVQ2 only,"23,300","176,600",13.2,2.7
E09000031,Waltham Forest,2009,NVQ2 only,15800,"168,500",9.4,2.5
E09000032,Wandsworth,2009,NVQ2 only,"16,700","222,900",7.5,2.4
E09000033,Westminster,2009,NVQ2 only,"12,800","158,100",8.1,2.3
E12000001,North East,2009,NVQ2 only,"298,700","1,661,000",18,0.7
E12000002,North West,2009,NVQ2 only,"786,600","4,488,300",17.5,0.5
E12000003,Yorkshire and The Humber,2009,NVQ2 only,551100,"3,351,700",16.4,0.6
E12000004,East Midlands,2009,NVQ2 only,"478,200","2,864,800",16.7,0.7
E12000005,West Midlands,2009,NVQ2 only,"600,100","3,494,400",17.2,0.6
E12000006,East,2009,NVQ2 only,"626,600","3,630,600",17.3,0.6
E12000007,London,2009,NVQ2 only,"623,600","5,441,200",11.5,0.5
E12000008,South East,2009,NVQ2 only,881800,"5,381,500",16.4,0.5
E12000009,South West,2009,NVQ2 only,"568,700","3,253,200",17.5,0.6
E92000001,England,2009,NVQ2 only,"5,415,500","33,566,700",16.1,0.2
W92000004,Wales,2009,NVQ2 only,"330,400","1,921,300",17.2,0.5
S92000003,Scotland,2009,NVQ2 only,"494,100","3,393,200",14.6,0.4
N92000002,Northern Ireland,2009,NVQ2 only,"172,400","1,150,100",15,1
K04000001,England and Wales,2009,NVQ2 only,"5,745,900","35,488,000",16.2,0.2
K03000001,Great Britain,2009,NVQ2 only,"6,240,000","38,881,200",16,0.2
K02000001,United Kingdom,2009,NVQ2 only,"6,412,400","40,031,300",16,0.2
E09000001,City of London,2009,NVQ1 only,!,"5,500",!,!
E09000002,Barking and Dagenham,2009,NVQ1 only,"15,500","110,700",14,2.9
E09000003,Barnet,2009,NVQ1 only,"19,800","227,700",8.7,2.5
E09000004,Bexley,2009,NVQ1 only,"23,700","146,000",16.3,3.3
E09000005,Brent,2009,NVQ1 only,"15,300","205,500",7.4,2.4
E09000006,Bromley,2009,NVQ1 only,"23,500","193,500",12.2,3.2
E09000007,Camden,2009,NVQ1 only,"10,300","153,200",6.7,2
E09000008,Croydon,2009,NVQ1 only,"31,100","235,700",13.2,3
E09000009,Ealing,2009,NVQ1 only,"21,100","227,900",9.3,2.4
E09000010,Enfield,2009,NVQ1 only,"23,000","195,000",11.8,2.4
E09000011,Greenwich,2009,NVQ1 only,"17,800","163,400",10.9,2.6
E09000012,Hackney,2009,NVQ1 only,"12,400","169,200",7.3,2
E09000013,Hammersmith and Fulham,2009,NVQ1 only,"8,400","132,900",6.3,2.1
